unit,sex,age,region,year,value
YR,F,Y1,PT,2020,83.3
YR,F,Y10,PT,2020,74.4
YR,F,Y11,PT,2020,73.4
YR,F,Y12,PT,2020,72.4
YR,F,Y13,PT,2020,71.4
YR,F,Y1,PT,2019,84.0
YR,F,Y10,PT,2019,75.1
YR,F,Y11,PT,2019,74.1
YR,F,Y12,PT,2019,73.1
YR,F,Y13,PT,2019,72.1
YR,F,Y1,PT,2018,83.7
YR,F,Y10,PT,2018,74.8
YR,F,Y11,PT,2018,73.9
YR,F,Y12,PT,2018,72.9
YR,F,Y13,PT,2018,71.9
YR,F,Y1,PT,2017,83.8
YR,F,Y10,PT,2017,74.8
YR,F,Y11,PT,2017,73.8
YR,F,Y12,PT,2017,72.8
YR,F,Y13,PT,2017,71.9
YR,F,Y1,PT,2016,83.6
YR,F,Y10,PT,2016,74.6
YR,F,Y11,PT,2016,73.6
YR,F,Y12,PT,2016,72.6
YR,F,Y13,PT,2016,71.6
YR,F,Y1,PT,2015,83.5
YR,F,Y10,PT,2015,74.5
YR,F,Y11,PT,2015,73.6
YR,F,Y12,PT,2015,72.6
YR,F,Y13,PT,2015,71.6
YR,F,Y1,PT,2014,83.6
YR,F,Y10,PT,2014,74.7
YR,F,Y11,PT,2014,73.7
YR,F,Y12,PT,2014,72.7
YR,F,Y13,PT,2014,71.7
YR,F,Y1,PT,2013,83.2
YR,F,Y10,PT,2013,74.3
YR,F,Y11,PT,2013,73.3
YR,F,Y12,PT,2013,72.3
YR,F,Y13,PT,2013,71.3
YR,F,Y1,PT,2012,82.9
YR,F,Y10,PT,2012,74.0
YR,F,Y11,PT,2012,73.0
YR,F,Y12,PT,2012,72.0
YR,F,Y13,PT,2012,71.0
